"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-CDC-HGL-002-2023-17082","CDC-HGL-002-2023-17082-2024-12-23T18:33:24.864Z-compiled","CDC-HGL-002-2023-17082","CDC-HGL-002-2023-17082","CONTRATACIÓN DE UN CONSULTOR PARA EL LEVANTAMIENTO TECNICO Y TOPOGRAFICO PREVIO AL ADECENTAMIENTO DE LA INFRAESTRUCTURA DE LOS BLOQUES A Y B CON PLANOS AS-BUILT (ARQUITECTONICOS, HIDROSANITARIO, ELECTRICO, SISTEMAS DE GASES MEDICINALES Y CLIMATIZACIÓN) DEL BLOQUE A, DISEÑO DE UNA NUEVA RED HIDROSANITARIA DEL BLOQUE A, LEVANTAMIENTO DEL ESTADO ACTUAL DE LA INFRAESTRUCTURA PATRIMONIAL, PROYECTO PARA READECUAR LA INFRAESTRUCTURA PATRIMONIAL EN BASE A LA GAIH DEL MSP, PROYECTO PARA REALIZAR MEJORAS EN LA INFRAESTRUCTURA NO PATRIMONIAL DEL HOSPITAL GENERAL LATACUNGA.","active","EC-RUC-0560005770001-17082","HOSPITAL GENERAL LATACUNGA","28250.00","USD","direct","Contratacion directa","services","ratedCriteria","2023-09-18T18:00:00-05:00","","","","2023-09-18T18:00:00-05:00","2023-09-20T16:00:00-05:00","2023-09-20T16:00:00-05:00","1","TRUE","Otros Parámetros de Calificación,Plan de Trabajo","","2023-10-05T16:00:00-05:00","2023-10-05T16:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADMULL-2023-001-252463","CDC-GADMULL-2023-001-252463-2023-08-22T19:00:00.861Z-compiled","CDC-GADMULL-2023-001-252463","CDC-GADMULL-2023-001-252463","“ESTUDIOS Y DISEÑOS DEFINITIVOS PARA EL ADOQUINADO EN LA VÍA DE INGRESO AL BARRIO SUR SAN MIGUEL DESDE EL ANILLO VIAL, ACERAS EN EL BARRIO LOS PINOS Y ADOQUINADO DE LA SEDE SOCIAL DEL BARRIO CHISILIVI.”","active","EC-RUC-0560020650001-252463","GOBIERNO AUTÓNOMO DESCENTRALIZADO DE LA PARROQUIA MULLIQUINDIL","17450.00","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-10T14:00:00-05:00","","","","2023-01-10T14:00:00-05:00","2023-01-11T17:00:00-05:00","2023-01-11T17:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo","","2023-01-20T09:30:00-05:00","2023-01-20T09:30:00-05:00","","1"
"ocds-5wno2w-CDC-GADCP-001-2023-34880","CDC-GADCP-001-2023-34880-2023-08-22T19:00:00.777Z-compiled","CDC-GADCP-001-2023-34880","CDC-GADCP-001-2023-34880","ELABORACION DE LOS ESTUDIOS Y DISEÑO DEFINITIVO DEL CENTRO GERONTOLOGICO MUNICIPAL DEL CANTÒN PALANDA, PROVINCIA DE ZAMORA CHINCHIPE","active","EC-RUC-1960107500001-34880","GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON PALANDA","12010.37","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-05T17:00:00-05:00","","","","2023-01-05T17:00:00-05:00","2023-01-06T17:00:00-05:00","2023-01-06T17:00:00-05:00","1","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2023-01-23T17:00:00-05:00","2023-01-23T17:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADPRC-2023-01-124534","CDC-GADPRC-2023-01-124534-2023-01-14T09:54:15.988Z","CDC-GADPRC-2023-01-124534","CDC-GADPRC-2023-01-124534","CONTRATACION DE LA ASISTENCIA TECNICA ESPECIALIZADA PARA LA FISCALIZACION DEL PROYECTO CONSTRUCCION DEL CENTRO DE PROMOCION PRODUCTIVO Y TURISTICO DEL GAD PARROQUIAL DE COTUNDO CONVENIO GAD PROVINCIAL","complete","EC-RUC-1560506600001-124534","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE COTUNDO","16800.00","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-11T13:30:00-05:00","","","","2023-01-11T13:30:00-05:00","2023-01-11T14:30:00-05:00","2023-01-11T14:30:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2023-01-13T16:00:00-05:00","2023-01-13T16:00:00-05:00","","1"
"ocds-5wno2w-CDC-CBM-001-2023-89788","CDC-CBM-001-2023-89788-2023-01-31T10:30:41.277Z-compiled","CDC-CBM-001-2023-89788","CDC-CBM-001-2023-89788","SERVICIO DE MANTENIMIENTO Y SOPORTE TÉCNICO ANUAL DEL SISTEMA DE RECAUDACIONES SIGCOT","active","EC-RUC-1360020070001-89788","Cuerpo de Bomberos de Manta","5550.00","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-13T13:00:00-05:00","","","","2023-01-13T13:00:00-05:00","2023-01-16T13:00:00-05:00","2023-01-16T13:00:00-05:00","3","TRUE","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Programación de los Servicios,Instrumentos y equipos disponibles","","2023-01-31T09:09:00-05:00","2023-01-31T09:09:00-05:00","","1"
"ocds-5wno2w-CDC-GADPRTE-01-2023-97014","CDC-GADPRTE-01-2023-97014-2023-08-22T19:00:01.126Z-compiled","CDC-GADPRTE-01-2023-97014","CDC-GADPRTE-01-2023-97014","FISCALIZACION DE LA OBRA REPARACIÓN DE LAS CABAÑAS TURÍSTICAS, COMEDOR Y BAÑO EN LA COMUNA LA PUNTILLA, JURISDICCIÓN DEL CANTÓN EL GUABO, PROVINCIA DE EL ORO","complete","EC-RUC-0760028270001-97014","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE TENDALES","1273.04","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-12T12:00:00-05:00","","","","2023-01-12T12:00:00-05:00","2023-01-12T13:00:00-05:00","2023-01-12T13:00:00-05:00","","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2023-01-16T20:00:00-05:00","2023-01-16T20:00:00-05:00","","1"
"ocds-5wno2w-CDC-GADR-001-2023-21092","CDC-GADR-001-2023-21092-2023-02-09T10:37:53.348Z-compiled","CDC-GADR-001-2023-21092","CDC-GADR-001-2023-21092","CONSULTORÍA PARA LA ELABORACIÓN DEL PLAN DE SALVAGUARDA DE LA ELABORACIÓN DE DULCES, ROMPOPE Y PRENSADO DEL CANTÓN ROCAFUERTE, PROVINCIA DE MANABI","active","EC-RUC-1360001360001-21092","MUNICIPIO DE ROCAFUERTE","6747.25","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-12T17:00:00-05:00","","","","2023-01-12T17:00:00-05:00","2023-01-13T17:00:00-05:00","2023-01-13T17:00:00-05:00","1","","Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2023-01-25T18:00:00-05:00","2023-01-25T18:00:00-05:00","","1"
"ocds-5wno2w-CDC-CONAGOPARE-01-23-101064","CDC-CONAGOPARE-01-23-101064-2023-08-22T19:00:03.234Z-compiled","CDC-CONAGOPARE-01-23-101064","CDC-CONAGOPARE-01-23-101064","Contratación de Servicio de consultoría para el estudio de la remodelación y mejoramiento de la infraestructura de la Institución","active","EC-RUC-1768105050001-101064","CONSEJO NACIONAL DE GOBIERNOS PARROQUIALES RURALES DEL ECUADOR","17857.14","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-17T17:30:00-05:00","","","","2023-01-17T17:30:00-05:00","2023-01-18T16:00:00-05:00","2023-01-18T16:00:00-05:00","","TRUE","Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2023-01-30T19:30:00-05:00","2023-01-30T19:30:00-05:00","","1"
"ocds-5wno2w-CDC-AGP-001-2023-462963","CDC-AGP-001-2023-462963-2023-08-22T19:19:44.482Z-compiled","CDC-AGP-001-2023-462963","CDC-AGP-001-2023-462963","CONSULTORÍA PARA LA ELABORACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL Y OBTENCIÓN DE LICENCIA AMBIENTAL PARA EL PROYECTO MEJORAMIENTO Y REHABILITACIÓN DE LAS LAGUNAS DE OXIDACIÓN DE PUNTA CARNERO, SALINAS, MUEY Y LA LIBERTAD","active","EC-RUC-2460002550001-462963","EMPRESA PÚBLICA MUNICIPAL MANCOMUNADA DE AGUA POTABLE, ALCANTARILLADO SANITARIO Y PLUVIAL Y DEPURACION Y APROVECHAMIENTO DE AGUAS RESIDUALES SANEAMIENTO AGUAPEN-EP","45000.00","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-19T17:30:00-05:00","","","","2023-01-19T17:30:00-05:00","2023-01-23T17:30:00-05:00","2023-01-23T17:30:00-05:00","4","","Otros Parámetros de Calificación,Experiencia Específica,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2023-02-06T17:00:00-05:00","2023-02-06T17:00:00-05:00","","1"
"ocds-5wno2w-CCD-GAD-MB-001-2023-38614","CCD-GAD-MB-001-2023-38614-2024-01-26T21:19:12.052Z-compiled","CCD-GAD-MB-001-2023-38614","CCD-GAD-MB-001-2023-38614","Elaborar la AUDITORIA AMBIENTAL DE CUMPLIMIENTO del proyecto: CONSTRUCCIÓN DE COLECTORES, EMISARIO Y PLANTA DE TRATAMIENTO DEL SISTEMA DE ALCANTARILLADO DE LA CIUDAD DE BALSAS del periodo 2019 a 2021","active","EC-RUC-0760001310001-38614","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE BALSAS PROVINCIA DE EL ORO","12500.00","USD","direct","Contratacion directa","services","ratedCriteria","2023-01-19T18:00:00-05:00","","","","2023-01-19T18:00:00-05:00","2023-01-20T17:00:00-05:00","2023-01-20T17:00:00-05:00","","","Otros Parámetros de Calificación,Experiencia Específica,Experiencia Personal Técnico,Plan de Trabajo,Instrumentos y equipos disponibles","","2023-02-02T16:00:00-05:00","2023-02-02T16:00:00-05:00","","1"
